SENDER,SENDER_NAME,SENDER_TAG,SENDER_PARENT,SENDER_CHILD_1,SENDER_CHILD_2,SENDER_CHILD_3,SENDER_TYPE_FINAL
AIRCCM,AIRTEL,CUSTOMER CARE,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
MYTSKY,TATA SKY,,UTILITY,DTH,,,UTILITY DTH  
ARWINF,AIRTEL,INFORMATION,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
NTAROT,AIRTEL,ACTIVATION,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
WAYSMS,WAY 2 SMS,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIREXP,AIRTEL,POSTPAID BILL,UTILITY,TELECOM,MOBILE,POSTPAID,UTILITY TELECOM MOBILE POSTPAID
AIROAM,AIRTEL,ROAMING,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
ARWSVC,AIRTEL,INFORMATION,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRSTR,AIRTEL,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRAPP,AIRTEL,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRTRF,AIRTEL,PROMOTION,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
RECHRG,AIRTEL,PREPAID,UTILITY,TELECOM,MOBILE,PREPAID,UTILITY TELECOM MOBILE PREPAID
VIDDTH,VIDEOCON D2H,,UTILITY,DTH,,,UTILITY DTH  
ARWSLF,AIRTEL,PROMOTION,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRBBU,AIRTEL,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRUPD,AIRTEL,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
UBHTUN,AIRTEL,PROMOTION,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRKCI,AIRTEL,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRSEP,AIRTEL,VAS,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRINF,AIRTEL,VAS,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIROTP,AIRTEL,OTP,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRUSG,AIRTEL,INFORMATION,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRSLF,AIRTEL,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRCCF,AIRTEL,,UTILITY,TELECOM,LAND LINE,,UTILITY TELECOM LAND LINE 
DISHTV,DISHTV,,UTILITY,DTH,,,UTILITY DTH  
AIRPWD,AIRTEL,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRPMT,AIRTEL,PAYMENT REQUEST,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
TBUCKS,TASK BUCK,,UTILITY,HOME SERVICES,,,UTILITY HOME SERVICES  
AIRTEL,AIRTEL,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
HLPCHT,HELPCHAT,,UTILITY,HOME SERVICES,,,UTILITY HOME SERVICES  
AIRACR,AIRTEL,PREPAID,UTILITY,TELECOM,MOBILE,PREPAID,UTILITY TELECOM MOBILE PREPAID
INDANE,INDANE,,UTILITY,GAS,,,UTILITY GAS  
URCLAP,URBAN CLAP,,UTILITY,HOME SERVICES,,,UTILITY HOME SERVICES  
AIRMAP,AIRTEL,OTP,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRRTV,AIRTEL,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
RINFRA,RELIANCE INFRA,,UTILITY,ELECTRICITY,,,UTILITY ELECTRICITY  
AIRSRV,AIRTEL,CUSTOMER CARE,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRAIR,AIRTEL,PROMOTION,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRCLP,AIRTEL,CUSTOMER CARE,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
BPCLPG,BHARAT GAS,,UTILITY,GAS,,,UTILITY GAS  
AIRCRE,AIRTEL,PREPAID,UTILITY,TELECOM,MOBILE,PREPAID,UTILITY TELECOM MOBILE PREPAID
ZIMMBR,ZIMMBER,,UTILITY,HOME SERVICES,,,UTILITY HOME SERVICES  
AIRFTA,AIRTEL,CUSTOMER CARE,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRINO,AIRTEL,VAS,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
CESCLM,CESC,,UTILITY,ELECTRICITY,,,UTILITY ELECTRICITY  
AIRRPT,AIRTEL,CUSTOMER CARE,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRSIM,AIRTEL,CUSTOMER CARE,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRNWS,AIRTEL,INFORMATION,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
HMWSSB,HYD MUNCIPALITY,,UTILITY,WATER,,,UTILITY WATER  
AIRSWP,AIRTEL,CUSTOMER CARE,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRWLC,AIRTEL,CUSTOMER CARE,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
BSNLCA,BSNL,,UTILITY,TELECOM,,,UTILITY TELECOM  
PORTAL,BSNL,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
WYNKED,WYNK,,UTILITY,TELECOM,,,UTILITY TELECOM  
BSNLIN,BSNL,,UTILITY,TELECOM,,,UTILITY TELECOM  
WELCOM,BSNL,ROAMING,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
BSNLMO,BSNL,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
BILPAY,MAHADISCOM,,UTILITY,ELECTRICITY,,,UTILITY ELECTRICITY  
BSNLDC,BSNL,,UTILITY,TELECOM,,,UTILITY TELECOM  
HSEJOY,HOUSE JOY,,UTILITY,HOME SERVICES,,,UTILITY HOME SERVICES  
RHTETT,EARN TALK TIME,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
DORMNT,DOOR MINT,,UTILITY,HOME SERVICES,,,UTILITY HOME SERVICES  
RHTOTP,EARN TALK TIME,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
HATHWY,HATHWAY,,UTILITY,TELECOM,INTERNET,,UTILITY TELECOM INTERNET 
IDEA,IDEA CELLULAR,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
IDEACA,IDEA CELLULAR,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRDTH,AIRTEL DIGITAL TV,,UTILITY,DTH,,,UTILITY DTH  
IDEAMN,IDEA CELLULAR,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
JOISTR,JOISTER,,UTILITY,TELECOM,INTERNET,,UTILITY TELECOM INTERNET 
MTNLBL,MTNL,,UTILITY,TELECOM,,,UTILITY TELECOM  
LLBILL,MTNL,,UTILITY,TELECOM,LAND LINE,,UTILITY TELECOM LAND LINE 
MTSSER,MTS,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
MTSBIL,MTS,POSTPAID BILL,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
RELIAN,RELIANCE COMMUNICATION,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
JIONET,RELIANCE JIO,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
DOCOMO,TATA DOCOMO,,UTILITY,TELECOM,,,UTILITY TELECOM  
AIRDTV,AIRTEL DIGITAL TV,,UTILITY,DTH,,,UTILITY DTH  
NXLDAT,TATA DOCOMO,PREPAID,UTILITY,TELECOM,MOBILE,PREPAID,UTILITY TELECOM MOBILE PREPAID
TDWIFI,TATA DOCOMO,OTP,UTILITY,TELECOM,,,UTILITY TELECOM  
TELNOR,TELENOR,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
TIKONA,TIKONA BROADBAND,,UTILITY,INTERNET,,,UTILITY INTERNET  
ETOPUP,TELENOR,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
BNIFIT,UNINOR,PREPAID,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
VFCARE,VODAFONE,CARE,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
VDFONE,VODAFONE,GENERIC,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
VODAFO,VODAFONE,POSTPAID BILL,UTILITY,TELECOM,MOBILE,POSTPAID,UTILITY TELECOM MOBILE POSTPAID
INFO,VODAFONE,INFORMATION,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
AIRLNK,COCHIN INTERNATIONAL AIRPORT,,UTILITY,TELECOM,SHORT TERM,,UTILITY TELECOM SHORT TERM 
VODAFN,VODAFONE,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
VOFONE,VODAFONE,,UTILITY,TELECOM,MOBILE,,UTILITY TELECOM MOBILE 
UNNATI,UNNATI,,OTHERS,MISC,,,OTHERS MISC  
ALERTS,OTHERS,PROMOTION,OTHERS,MISC,,,OTHERS MISC  
UOSNET,OTHERS,PROMOTION,OTHERS,MISC,,,OTHERS MISC  
VTCLFS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
VUINFO,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
OFFER,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
DHARMD,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
OTPSMS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SUKART,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
XRBIAD,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
EPICRE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
GROUPN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
INDCOM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
WNSADM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BRGKNG,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
NAVKAR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
VRFSMS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BSEBTI,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CASHON,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CDSLTX,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CLMORE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MAXFSN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MRMBSS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
PLFSHN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TECHNO,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
AEGONL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CLUBCC,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HARSHA,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
IILLTD,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MYUNIV,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SBRWDZ,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CAREER,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
VOVINT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
WHSAPP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
XCEEDN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
XPBEES,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
IHOMES,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MSHOPO,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
WAYAPP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BALAJI,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BBCARE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BPCLMS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CARDEK,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
DROOMT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
EDIFFY,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HMILCM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
NNACRE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
OZONEN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
QTOLIV,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
RELGEN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TWITTR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
XIAOMI,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
ANMKHJ,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
ATMSBH,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
DENTAL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
GOHIKE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
INDOFF,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
JEEVAN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
OLAMNY,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SPROFS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BIBAIN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BMSOTP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
FINPLN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
FPAALS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HPGASA,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MRUPEE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MTSWIF,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
NSDLDP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SUVDHA,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
VITUNI,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
YOGDAY,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
INPROP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
RDIGIT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
ACETHR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
AXBXSL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HOMCEN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MTRADE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
OBCMPY,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
RELONE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
VAAHAN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BATAIN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BYKUPP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
COCUBE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
GMSCHL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HOMECR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
INDUSF,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
LOCOYE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
PANTLS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
PAYMAT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TRADEI,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
VELEXL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BIGBZR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CARTHR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CPEARL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
DHCSMS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
FROMCL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
KDKSOF,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MZIFFI,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
NETMDS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
PEOPLE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SHOPCJ,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TFGIFT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HBUDDY,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
KRAFTL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MEPCEN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
NGPAYM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
NOVLTY,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SMARTP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SWEETS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TMJOBS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
AASAAN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BBALRT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CWINES,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
EDELWS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
FCTZEN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
GNDSET,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
GODREJ,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
LIFTOS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MBPERK,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MLODHA,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MUTHUT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MYUDIO,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
NGAGEM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
ROYLTY,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
RRBREG,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
UKBCMF,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
WECHTR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
DEDNLS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
FTCASH,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
GOJVAS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HPGASC,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
ICSINR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
INFIBM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MAXGTM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MCSKMM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MEAPPS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
METROS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MMOCHI,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
PNYFUL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SHOPAG,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TFNEWS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BOBRWD,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CWECLK,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
GOHOST,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HPGASD,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
IMRTAP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
INPOST,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
IPROFS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
JUGNOO,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
LFLIVE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MHADAL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MMINDS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MTS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
ONEPAY,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
PLVSMS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
RELOFR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
RWRDME,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SUMITC,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SURAVI,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
VIRALS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
WSHNET,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
ALDMKT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
ATCOST,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BYTWOO,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HOMSHP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HTCMPS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
IODBTL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
JHACDM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
JYSMUM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MCONEC,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MOSLMF,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
PROFIT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SHRKHN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SQUARE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SSHIFT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TATAMO,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TGROUP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TRVLSY,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
VVSBNK,VVS BANK,,OTHERS,MISC,,,OTHERS MISC  
ALMNMA,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BBAJOB,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CHAMPC,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CWESPL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
ICCARD,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
IONHLP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
JALUKS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
KHAZNA,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
KHOSLA,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
KRISHN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
LICAAO,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MISETS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MQUOPN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
NOBRKR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
PMCBNK,PMC BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
RAJSMS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SNUMBM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
SOLNKI,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TALERT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
WASANK,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
AMMISB,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BBQNAT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BLKBRY,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BMATRI,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BWKOOF,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CITYAS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CMNTRI,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
DAMSPG,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
ETALRT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
FWALRT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HIRING,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HTMUMB,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HYDNSB,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
IIFLTD,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
KHADIM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
KOOVSS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
LIFSTL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MTNLPR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
PIZHUT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
PLUSIT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TAZEST,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TLBBLR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TXNALE,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
UNINOR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
YATRAA,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
APSRTC,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BESTSM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CALDRP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CNRBMF,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
FASHON,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HULWIN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
INVEST,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
IPRUMF,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
JDSHOP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
JSTBUY,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
KERKAR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MANIPL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MICROM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MTIGER,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MYTIME,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
OLAINC,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
PROBTC,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
ROAM,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
TFPICK,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
UMOBIL,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
WECHAT,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
AVIVAI,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
BLABLA,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CEO-AP,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CLKIND,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
COEDLR,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
CTACAD,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
DFFSMS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
DUSTER,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
FANMPS,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
HOUSJY,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
IBMKVC,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
ICPADK,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
JUSTDI,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
KALYAN,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
