SENDER,SENDER_NAME,SENDER_TAG,SENDER_PARENT,SENDER_CHILD_1,SENDER_CHILD_2,SENDER_CHILD_3,SENDER_TYPE_FINAL
SHMART,SHMART,,FINANCIAL,WALLET,,,FINANCIAL WALLET  
PAYPAL,PAYPAL,,FINANCIAL,WALLET,,,FINANCIAL WALLET  
RBLCRD,RATNAKAR BANK LIMITED,,FINANCIAL,BANK,,,FINANCIAL BANK  
LADOOO,LADOOO,,FINANCIAL,WALLET,,,FINANCIAL WALLET  
STARBI,BANK OF INDIA,,FINANCIAL,BANK,,,FINANCIAL BANK  
HDFCMF,HDFC MUTUAL FUND,,FINANCIAL,INVESTMENT,MUTUAL FUND,,FINANCIAL INVESTMENT MUTUAL FUND 
KSTRDE,KOTAK SECURITIES,TRADING,FINANCIAL,INVESTMENT,MUTUAL FUND,,FINANCIAL INVESTMENT MUTUAL FUND 
ONGOWL,ONGO,,FINANCIAL,WALLET,,,FINANCIAL WALLET  
AIRMNY,AIRTEL MONEY,,FINANCIAL,WALLET,,,FINANCIAL WALLET  
BKDENA,DENA BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
CBSSBH,STATE BANK OF HYDERABAD,,FINANCIAL,BANK,,,FINANCIAL BANK  
KSDERV,KARVY UTI,,FINANCIAL,INVESTMENT,BROKERAGE,,FINANCIAL INVESTMENT BROKERAGE 
YESBNK,YES BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
QCMAPP,WOOHOO,,FINANCIAL,WALLET,,,FINANCIAL WALLET  
SBIPSG,STATE BANK OF HYDERABAD,,FINANCIAL,BANK,,,FINANCIAL BANK  
ANGBRK,ANGEL BROKING,,FINANCIAL,INVESTMENT,BROKERAGE,,FINANCIAL INVESTMENT BROKERAGE 
BOBSMS,BANK OF BARODA,,FINANCIAL,BANK,,,FINANCIAL BANK  
SCISMS,STATE BANK OF INDIA,,FINANCIAL,BANK,,,FINANCIAL BANK  
SARBNK,SARASWAT BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
ZEBPAY,ZEBPAY,,FINANCIAL,PAYMENTS,,,FINANCIAL PAYMENTS  
TJSBNK,TJS BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
HDFCMP,HDFC,OTP,FINANCIAL,BANK,,,FINANCIAL BANK  
ICICIL,ICICI LOMBART,,FINANCIAL,INSURANCE,GENERAL INSURANCE,,FINANCIAL INSURANCE GENERAL INSURANCE 
ITZCSH,ITZ CASH,,FINANCIAL,PAYMENTS,,,FINANCIAL PAYMENTS  
INDBNK,INDIAN BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
FEDBNK,FEDERAL BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
SBIACS,STATE BANK OF INDIA,OTP,FINANCIAL,BANK,,,FINANCIAL BANK  
PNBACS,PUNJAB NATIONAL BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
SYBANK,SYNDICATE BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
SBIWAL,STATE BANK OF INDIA BUDDY,,FINANCIAL,WALLET,,,FINANCIAL WALLET  
SBIMFD,SBI MUTUAL FUNDS,,FINANCIAL,INVESTMENT,MUTUAL FUND,,FINANCIAL INVESTMENT MUTUAL FUND 
AXISMF,AXIS BANK,,FINANCIAL,INVESTMENT,MUTUAL FUND,,FINANCIAL INVESTMENT MUTUAL FUND 
IDFCBK,IDFC BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
BILLDK,BILL DESK,,FINANCIAL,PAYMENTS,,,FINANCIAL PAYMENTS  
INGVYS,ING VYASYA,,FINANCIAL,BANK,,,FINANCIAL BANK  
AIRVOT,AIRTEL MONEY,OTP,FINANCIAL,WALLET,,,FINANCIAL WALLET  
SBIBIL,SBI CARD,BILL PAYMENT,FINANCIAL,CREDIT CARD,OTHERS,,FINANCIAL CREDIT CARD OTHERS 
SBIBDP,STATE BANK OF INDIA,OTP,FINANCIAL,BANK,,,FINANCIAL BANK  
SBISSL,STATE BANK OF INDIA,PROMOTION,FINANCIAL,BANK,,,FINANCIAL BANK  
SBIBNK,STATE BANK OF INDIA,OTP,FINANCIAL,BANK,,,FINANCIAL BANK  
SBIGEN,SBI GENERAL INSURANCE,,FINANCIAL,INSURANCE,GENERAL INSURANCE,,FINANCIAL INSURANCE GENERAL INSURANCE 
GRCSBI,STATE BANK OF INDIA,,FINANCIAL,BANK,,,FINANCIAL BANK  
SBIFRW,STATE BANK OF INDIA,,FINANCIAL,BANK,,,FINANCIAL BANK  
ICICIP,ICICI PRUDENTIAL,,FINANCIAL,INSURANCE,LIFE INSURANCE,,FINANCIAL INSURANCE LIFE INSURANCE 
SBIAO1,STATE BANK OF INDIA,PROMOTION,FINANCIAL,BANK,,,FINANCIAL BANK  
SBIDCL,STATE BANK OF INDIA,PROMOTION,FINANCIAL,BANK,,,FINANCIAL BANK  
SBIHYD,STATE BANK OF INDIA,PROMOTION,FINANCIAL,BANK,,,FINANCIAL BANK  
PAYBAK,PAYBACK,,OTHERS,LOYALTY,,,OTHERS LOYALTY  
EKARTL,E-KART LOGISTICS,,OTHERS,COURIER,ECOM,,OTHERS COURIER ECOM 
GOOGLE,GOOGLE,ACCOUNT VERIFICATION,OTHERS,SOCIAL,,,OTHERS SOCIAL  
DHCBAS,DELHI HIGH COURT BAR ASSOCIATION,,OTHERS,CLOSED COMMUNITY,OFFICE,,OTHERS CLOSED COMMUNITY OFFICE 
DCEGGN,DRONACHARYA COLLEGE OF ENGINEERING,INTERNAL,OTHERS,CLOSED COMMUNITY,COLLEGE,,OTHERS CLOSED COMMUNITY COLLEGE 
SMSCOU,RKDF UNIVERSITY,INFORMATION,OTHERS,CLOSED COMMUNITY,COLLEGE,,OTHERS CLOSED COMMUNITY COLLEGE 
ICSIHQ,INST OF COMPANY SECRETARIES,,OTHERS,CLOSED COMMUNITY,PROF EDU,,OTHERS CLOSED COMMUNITY PROF EDU 
SBHHYD,STATE BANK OF HYDERABAD,INTERNAL,OTHERS,CLOSED COMMUNITY,OFFICE,,OTHERS CLOSED COMMUNITY OFFICE 
MININB,GOVERNMENT OF INDIA,INFORMATION,OTHERS,GOVT,,,OTHERS GOVT  
EPFOHO,EPFO,,OTHERS,GOVT,,,OTHERS GOVT  
HBLHRD,HBL GLOBAL,INTERNAL,OTHERS,CLOSED COMMUNITY,OFFICE,,OTHERS CLOSED COMMUNITY OFFICE 
SWNFLU,SWINE FLU,INFORMATION,OTHERS,GOVT,,,OTHERS GOVT  
INVTCH,OTHERS,PROMOTION,OTHERS,PROMOTIONS,,,OTHERS PROMOTIONS  
DLHVRY,DELHIVERY,,OTHERS,COURIER,ECOM,,OTHERS COURIER ECOM 
JAVAAS,GOJAVAS,,OTHERS,COURIER,ECOM,,OTHERS COURIER ECOM 
VCDDEL,OTHERS,INTERNAL,OTHERS,GOVT,,,OTHERS GOVT  
ITDCPC,INCOME TAX CPC,,OTHERS,GOVT,,,OTHERS GOVT  
SMARRY,SIMPLY MARRY,,OTHERS,MATRIMONIAL,,,OTHERS MATRIMONIAL  
ADHAAR,ADHAAR,OTP,OTHERS,GOVT,,,OTHERS GOVT  
MYGOVT,MY GOVT,PROMOTION,OTHERS,GOVT,,,OTHERS GOVT  
WIPROT,WIPRO,INTERNAL,OTHERS,CLOSED COMMUNITY,OFFICE,,OTHERS CLOSED COMMUNITY OFFICE 
KARDPR,KARNATAKA GOVT,,OTHERS,GOVT,,,OTHERS GOVT  
BLUDRT,BLUE DART,,OTHERS,COURIER,,,OTHERS COURIER  
SHAADI,SHAADI.COM,,OTHERS,MATRIMONIAL,,,OTHERS MATRIMONIAL  
MONSTR,MONSTER,,OTHERS,RECRUITERS,,,OTHERS RECRUITERS  
TCSPSK,PASSPORT SEVA KENDRA,,OTHERS,GOVT,,,OTHERS GOVT  
SEBIED,SEBI,,OTHERS,GOVT,,,OTHERS GOVT  
NAUKRI,NAUKRI,,OTHERS,RECRUITERS,,,OTHERS RECRUITERS  
ITDEFL,INCOME TAX CPC,,OTHERS,GOVT,,,OTHERS GOVT  
BSSTPT,BARCLAYS SHARED SERVICES,INTERNAL,OTHERS,CLOSED COMMUNITY,OFFICE,,OTHERS CLOSED COMMUNITY OFFICE 
APNACX,APNA COMPLEX,,OTHERS,CLOSED COMMUNITY,BUILDINGS,,OTHERS CLOSED COMMUNITY BUILDINGS 
INTSHL,INTERNSHALA,,OTHERS,RECRUITERS,,,OTHERS RECRUITERS  
CRWNIT,CROWNIT,,OTHERS,LOYALTY,,,OTHERS LOYALTY  
ITDEPT,INCOME TAX CPC,,OTHERS,GOVT,,,OTHERS GOVT  
ENCRCL,ENCIRCLE,,OTHERS,LOYALTY,,,OTHERS LOYALTY  
GENPAC,GENPACT,INTERNAL,OTHERS,CLOSED COMMUNITY,OFFICE,,OTHERS CLOSED COMMUNITY OFFICE 
VERIFY,OTHERS,,OTHERS,MISC,,,OTHERS MISC  
MYHOME,NIRMAL LIFE STYLE,PROMOTION,OTHERS,REAL ESTATE,,,OTHERS REAL ESTATE  
APDPLC,AMARPRAKASH TEMPLEWAVES,PROMOTION,OTHERS,REAL ESTATE,,,OTHERS REAL ESTATE  
FACEBK,FACEBOOK,,OTHERS,SOCIAL,,,OTHERS SOCIAL  
NGROUP,NARAYANA GROUP,,OTHERS,CLOSED COMMUNITY,SCHOOL,,OTHERS CLOSED COMMUNITY SCHOOL 
VISHAL,NAVIGATOR TUTORIALS,,OTHERS,CLOSED COMMUNITY,SCHOOL,,OTHERS CLOSED COMMUNITY SCHOOL 
IMSIND,IMS TUTORIALS,,OTHERS,CLOSED COMMUNITY,SCHOOL,,OTHERS CLOSED COMMUNITY SCHOOL 
DAMSCH,DAMS CHANDIGARH,,OTHERS,CLOSED COMMUNITY,SCHOOL,,OTHERS CLOSED COMMUNITY SCHOOL 
ECOMEX,ECOM EXPRESS,,OTHERS,COURIER,ECOM,,OTHERS COURIER ECOM 
MAHESH,MAHESH TUTORIAL,,OTHERS,CLOSED COMMUNITY,SCHOOL,,OTHERS CLOSED COMMUNITY SCHOOL 
HIKEPN,HIKE MESSENGER,OTP,OTHERS,SOCIAL,,,OTHERS SOCIAL  
ARAMEX,ARAMEX,,OTHERS,COURIER,,,OTHERS COURIER  
SBIPOS,STATE BANK OF INDIA,INTERNAL,OTHERS,CLOSED COMMUNITY,OFFICE,,OTHERS CLOSED COMMUNITY OFFICE 
SBICLK,STATE BANK OF INDIA,INTERNAL,OTHERS,CLOSED COMMUNITY,OFFICE,,OTHERS CLOSED COMMUNITY OFFICE 
SBISPL,STATE BANK OF INDIA,INTERNAL,OTHERS,CLOSED COMMUNITY,OFFICE,,OTHERS CLOSED COMMUNITY OFFICE 
ASOSBI,STATE BANK OF INDIA,INTERNAL,OTHERS,CLOSED COMMUNITY,OFFICE,,OTHERS CLOSED COMMUNITY OFFICE 
FSTCRY,FIRSTCRY,,SHOPPING,ONLINE,FASHION,,SHOPPING ONLINE FASHION 
QUIKRR,QUIKR ,,SHOPPING,ONLINE,CLASSIFIED,,SHOPPING ONLINE CLASSIFIED 
SULEKH,SULEKHA.COM,,SHOPPING,ONLINE,CLASSIFIED,,SHOPPING ONLINE CLASSIFIED 
LITTLE,LITTLE APP,,SHOPPING,ONLINE,DEALS,,SHOPPING ONLINE DEALS 
